SMILES,Marked Bonds
CC1=C2C(CC1=O)CC1(O)C2CC2OC=CC21,"[(8, 10), (11, 12), (16, 8)]"
COC(=O)C1C(C=O)CC2C(C(C)[Si]([U])([U])[U])C(=O)N21,"[(8, 9), (4, 5)]"
O=C1c2c(c3c4ccccc4[nH]c3c3[nH]c4ccccc4c23)CN1Cc1ccccc1,"[(2, 3), (20, 21)]"
C=CCC(C)(O)CC(O)c1ccccc1,"[(2, 3)]"
CC(=CO[Si](C(C)C)(C(C)C)C(C)C)C1OC(CC#C[Si](C)(C)C)C2(C=O)C(C)=CCC(C(C)C)C12,"[(16, 24), (35, 14), (14, 15)]"
CS(=O)(=O)N1c2ccccc2C23CCN([U])C2CCCC13,"[(10, 11), (14, 16)]"
O=C1c2ccccc2CCC2CCCN12,"[(14, 1), (14, 10)]"
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,"[(11, 12), (21, 12), (19, 20)]"
COC(=O)C1CC2C(=O)N3C(=Cc4cccc(OC)c4C3CO)C1N2C,"[(5, 6), (23, 4)]"
CC1(C)CCCC2(C)C3CCC12CC3=O,"[(9, 10), (11, 12), (6, 8)]"
C=C1CC2(C(=O)OC)CC1(C)CCC2=O,"[(9, 1), (3, 8)]"
COC(=O)C1=C2Nc3ccccc3C23CCN2CCCC(C1C(=O)OC)C23,"[(20, 21), (26, 13), (26, 16), (16, 17)]"
COCC(NC([U])[U])c1ccccc1,"[(5, 7)]"
COCC([U])N=C1CCCCC1[U],"[(11, 12)]"
O=C1CCCC2C=CC([U])C3CCN1C23,"[(8, 10), (14, 5), (13, 14), (13, 1)]"
O=C1C2C3C=CC([U])C2CCN1CCC3,"[(11, 1), (11, 12), (6, 8), (2, 3)]"
CC#Cc1c(C)c(C)cc(Br)c1C,"[(4, 6), (11, 3)]"
CC#CC1C2(C)C3(Br)C(CC)C1(C)S(=O)(=O)C23C,"[(8, 9), (4, 6), (16, 4), (11, 3)]"
CC=C[U],"[(1, 2)]"
COC(=O)N1CCC23C1=CC=C1CCCN(c4ccccc42)C13,"[(21, 7), (18, 22)]"
CCOC1CC=CC(C(O)c2ccccc2)O1,"[(7, 8), (16, 3), (4, 5)]"
[U]C=C[U],"[(1, 2)]"
O=P(c1ccccc1)(c1ccccc1)C1C=CCCC1P(=O)(c1ccccc1)c1ccccc1,"[(1, 14), (19, 20)]"
CC1=CCCC1C1=CCCCC1,"[(5, 1)]"
O=C([U])C=CC(O)[U],"[(3, 4)]"
CC1C=CCCCCOC(=O)S1,"[(11, 1)]"
CC(C)(C)C(O)CC1CC2C=CC1C2,"[(12, 7), (8, 9)]"
CCOC(=O)C1CC23CN(C(=O)OC(C)(C)C)CCC2CCC2(SCCCS2)C3N1C,"[(28, 29), (28, 7), (5, 6)]"
C1=C(c2ccccc2)c2ccccc2C1,"[(12, 4)]"
O=C1C2CN(c3ccccc3)C(=O)C2=C2Oc3ccccc3C23CCCC13,"[(26, 1), (22, 14), (13, 2)]"
CC1(C)CC2CC(C)(O)C3(C)CC3(C)C2C1,"[(12, 9), (14, 4), (6, 7)]"
CC1C=CCCCCCCCCCCC(=O)C1,"[(2, 3)]"
CC1C(Sc2ccccc2)CC2C1C(=O)CCCC2(C)C,"[(12, 13), (11, 12), (1, 2)]"
C=CC(C)C(O)[U],"[(2, 4)]"
C=CC(C)C(O)C(C)C(C)(C)C,"[(2, 4)]"
C=C(C)C1CCC2(C1)C(=O)C(S(=O)(=O)[Ac])CCC2C,"[(8, 10)]"
O=C([U])CC[Ac],"[(4, 5)]"
O=C([U])CCC(=O)[U],"[(1, 3)]"
OC1([U])CC1,"[(1, 3), (4, 1)]"
CC(C)(C)OC(=O)N1CCc2ncc([N+](=O)[O-])cc2C1,"[(17, 18), (10, 11)]"
CC(C)=CC1c2cccc3c2C24CCN1C1NCCC12c1ccccc1NC4N3C,"[(29, 21), (25, 21), (25, 26), (13, 14)]"
O=C(CC(S)[U])N1C(=O)OCC1c1ccccc1,"[(3, 4)]"
C=CC1(C=O)CCC(C(C)(C)C)CC1,"[(1, 2)]"
C=C(C)C1CCC2C3CCC45CCCC4C2(CCCOCc2ccccc2)C1NC35,"[(27, 3), (15, 6), (29, 7), (27, 28)]"
CC1=CC(=O)C2(CCCCCC2C)C1,"[(11, 5), (2, 3), (5, 13)]"
C=C1CC(=O)C2(CCCCCC2C)C1,"[(2, 3), (5, 13), (11, 5)]"
C=CCC1CCC2C(C(C)C)CCCC(=O)N12,"[(2, 3), (16, 3)]"
CC(=O)OC1(C=O)CCC2OC(C)(C)OC2C1C(C)=CCC=C(C)C,"[(3, 4)]"
CCc1c(-c2ccccc2)c[nH]c1C,"[(3, 5), (5, 6), (7, 2)]"
CC(C)(C)C1CCC(=NO)C(C#N)C1,"[(10, 11)]"
CC(C)C(=O)C(C)C(O)c1ccccc1,"[(5, 7)]"
CC(=O)C1C(C)C([U])=CC2(C)CCCC12,"[(14, 9), (3, 4)]"
CC(C(=O)N1C(=O)OCC1Cc1ccccc1)C1CCC(CO[Si](C)(C)C(C)(C)C)O1,"[(1, 17)]"
CC1CCC(OC(=O)C(F)(F)F)C2CCCCC12O,"[(2, 3), (17, 1), (4, 5)]"
C=CC1CCCCC1C=NC(C(=O)OC(C)(C)C)C(C)(C)C,"[(1, 2)]"
C=C(CC(C)C(=O)N([U])[U])C(C)C(C)C(=O)N([U])[U],"[(5, 7), (2, 3), (10, 12), (14, 16)]"
Cc1cc(OCc2ccccc2)c2c(c1)N1N=NCC1C([Si](C)(C)C)C(O)C2COCc1ccccc1,"[(19, 15), (17, 18)]"
Cc1cc(OCc2ccccc2)c2c(c1)N1CC1C([Si](C)(C)C)C(O)C2COCc1ccccc1,"[(15, 16), (17, 15)]"
C=CC([U])C12CCCC3(CCCCC31)OC2O,"[(2, 4), (5, 6)]"
CCC1C(=O)C2(C)c3ccc(OC)cc3CCC2C1C,"[(17, 18), (5, 7)]"
O=C1CC2C=CC(C1)C2,"[(2, 3), (6, 7)]"
OC1CCCC2CC12,"[(6, 7), (5, 6)]"
OC1CCCC2OC12,"[(6, 7), (5, 6)]"
OC1CCCCCC2OC12,"[(8, 9), (7, 8)]"
OC1CCCCCC2CC12,"[(8, 9), (7, 8)]"
O=C1C=CC(O)C2OCC(c3ccccc3)N12,"[(6, 7)]"
CC1CCC2(OC1[U])OC([U])C(C)CC2C,"[(4, 5), (4, 8)]"
CC12CCCCC1CC(O)C(O)C2,"[(10, 11), (8, 9)]"
CC([U])CC(I)C1OC(=O)C(C)CC1C,"[(4, 5), (6, 7)]"
CC(C)(C)[Si](C)(C)OCC1CC(Sc2ccccc2)C(O)C(O[Si](C)(C)C(C)(C)C)C1O[Si](C)(C)C(C)(C)C,"[(11, 12)]"
C=C(C)CC(C1=CC=CC=C1)=C(C1=C(C)C=CC=C1C)C1=C(C)C=C(C)C=C1C,"[(11, 8)]"
CC(=O)OC(=C(c1ccccc1)c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,"[(4, 5), (1, 3)]"
CC(C=CCl)C(O)[U],"[(1, 5)]"
C1=C2C(=Cc3ccccc32)c2ccccc21,"[(15, 2), (14, 6)]"
O=C1OCC(c2ccccc2)N2C1CC1CCCC12,"[(18, 14), (12, 13), (18, 11)]"
CCC12CCC(=O)N3CCC45c6ccc(OC)cc6N(C)C4C(C(=O)OC)(OC315)C2OC,"[(21, 22), (28, 10), (28, 2), (22, 29)]"
COc1ccc(C2(CCOCc3ccccc3)C=C(C)CC2)cc1OC,"[(8, 19)]"
CC[Si](CC)(CC)OC1C=CC2(C(=O)OC)C(C=O)C12,"[(11, 16)]"
COC(=O)C1=CC2C(=O)C1C=CC21C(=O)Nc2cccc(I)c21,"[(12, 6), (11, 12)]"
O=C1CCCC2CCC(c3ccccc3)N12,"[(15, 1), (15, 5)]"
O=C1CCCC12CCCC2Nc1ccccc1,"[(9, 5), (10, 11)]"
O=C1CCCC12CCCC2Nc1ccccc1,"[(9, 10), (9, 5)]"
CC(C)(C)[Si](C)(C)OC(c1ccccc1)C(c1ccccc1)N1C2=C(C=CC1[U])C(=O)CCC2,"[(24, 25), (27, 22)]"
CC1(O)C(=O)CCN2CCCC21,"[(5, 6)]"
CCC12CCCN3CCC4(C(=C(C(=O)OC)C1)Nc1ccccc14)C32,"[(24, 6), (9, 24), (23, 2), (5, 6)]"
CCC12CCCN3CCC4(C(=C(SC)C1)N(C)c1ccccc14)C32,"[(10, 11), (9, 23)]"
C=C=Cc1cc([U])ccc1[U],"[(3, 4)]"
CC1(C)OC2(CBr)CCC(=O)CC1CC2O,"[(3, 4), (5, 6), (14, 15)]"
O=C(CC(C(=O)c1ccccc1)c1ccccc1)c1ccccc1,"[(1, 2)]"
O=C(CC(C(=O)c1ccccc1)c1ccccc1)c1ccccc1,"[(3, 4)]"
O=C1C=CC23CCCC(C(=O)C2)C3=C1,"[(11, 4)]"
C=CCC(C)C(=O)C(C)C(O)C(C)(C)COCc1ccccc1,"[(2, 3)]"
CC1=C2CCC3C=CCCC3C(=O)C(CC1)C2(C)C,"[(8, 9), (10, 5), (13, 16), (14, 15)]"
COc1c(C)c(CO[U])cc(O)c1CC=C(C)CCCO[U],"[(3, 13), (20, 2)]"
CCCCC(C(=O)O)=C(C)c1ccc([U])cc1,"[(4, 8)]"
BC1CCCCC1,"[(0, 1)]"
CC([Ac])C(O)CC1(C)OC1(C)CO[Si](C)(C)C(C)(C)C,"[(6, 8), (8, 9)]"
CC(=O)OC1CCCN(C(=O)OCc2ccccc2)C1CC(=O)c1ccccc1,"[(19, 20)]"
O=C1C([U])C2SCCN12,"[(8, 1), (2, 4)]"
O=C1C([U])C([U])N1[U],"[(6, 1), (2, 4)]"
CC#CCCC1(C)C(=O)CCC1=O,"[(5, 7), (11, 5)]"
CC(=O)C1=C2CCCC(=O)C23CCCC3C1,"[(3, 4), (8, 10), (10, 4)]"
O=C1C=C(C23CCCC2C3)CN1Cc1ccccc1,"[(2, 3), (9, 4), (8, 4)]"
CCCCC1=CC23C(CC(=O)C2C)CC(=O)C3C1C,"[(17, 4), (16, 6)]"
COC(=O)CC1CCC23CCCC2CN(C(=O)OC(C)(C)C)N13,"[(22, 8), (22, 5), (13, 14), (12, 8)]"
c1cc2ccc3c4cccc5ccc(c(c1)c23)c54,"[(15, 2), (8, 16)]"
CCC(CC)(CC)SC(=O)C(C)C(O)C(C)C,"[(10, 12)]"
CN1CCC23CC(O)C=CC12CCc1ccccc13,"[(9, 10), (4, 5)]"
CC1(C)C2CC=C3C4CCCCC(=O)C4CC3C21,"[(15, 16), (14, 7)]"
C=C1C(C)CCC(C(C)C)C2(O)C=CC(C(=O)OC)C12,"[(19, 10), (13, 14)]"
C=C(C)C(C)C(C)C(=O)N(CC)CC,"[(7, 8), (3, 5)]"
O=C1OCC2([U])CCCC23OCCCC13,"[(14, 9), (10, 11)]"
C=CCCCC(C)C(O)C(C)C(=O)C(C)(C)C1CCOC(C)(C)O1,"[(7, 9)]"
CC(CO)CC(OCc1ccccc1)C(O)C(C)CO,"[(18, 19)]"
CC1=CC2C3CC=CC3OC2(C)c2ccccc21,"[(8, 9)]"
C=C1C2CCC(=O)C3(CCC(O)C13)C2CCCC,"[(12, 7), (10, 12)]"
C=C1CC2N(C)c3c(ccc(OC)c3OC)C23CCN2CCCC1(CC(=O)O[U])C23,"[(19, 20), (29, 19), (29, 16), (2, 3)]"
COC(=O)CC1CCCC1N(Cc1ccccc1)C(=O)c1ccccc1,"[(9, 5)]"
CC(C)C1C2CCCC2(N2CCCCC2)C(=O)C1(C)[N+](=O)[O-],"[(3, 4), (15, 17), (8, 4)]"
CC(C)C1C2CCCC2(N2CCCCC2)C(=O)C1(C)[N+](=O)[O-],"[(15, 17), (3, 4), (7, 8)]"
O=c1c(O)cc2c(c3ccccc13)OCOC2,"[(2, 4), (5, 6)]"
COc1cc2c(c3ccccc3c1=O)OC1(C)CCCCC1C2,"[(14, 15), (21, 22)]"
CC1=CC(CCCOc2ccccc2)CC1,"[(2, 3)]"
CC(=O)OC1CC(=O)N2CC(C(C)(C)OC=O)C(COCc3ccccc3)C12,"[(9, 10), (11, 14), (17, 27)]"
CC(C(=O)[U])C(O)[U],"[(1, 5)]"
O=C1OC2(S[Ac])CCCCC2C1(Cl)Cl,"[(10, 11), (2, 3)]"
Cc1nn(C)c(C)c1-c1ccccc1,"[(2, 3)]"
CC1(C)C(=O)OC2C3=C(CC=C3)CC=CC21,"[(15, 6), (8, 12)]"
CC1(C)C(=O)OC2C3=C(CC=C3)CC=CC21,"[(15, 6), (8, 12)]"
CC1CCC(C)N(C(=O)OC(C)(C)C)C1=O,"[(0, 1)]"
Cc1ccc(S(=O)(=O)N2CC(O)C3(c4ccc5c(c4)OCO5)C=CCCC23)cc1,"[(10, 12)]"
Cc1ccc(S(=O)(=O)N2CC3OC2C2(c4ccc5c(c4)OCO5)CCCC32)cc1,"[(11, 12), (26, 13), (26, 10)]"
COC1C=C(C(O)CCC(C)(C)C=CC=CCO[Si](C)(C)C(C)(C)C)C(=O)O1,"[(4, 5)]"
C=CC(C)C(O)c1ccccc1,"[(2, 4)]"
C=CC(C)C(cc)N[U],"[(2, 4)]"
CC#Cc1c(C)c(C)cc(Br)c1C,"[(3, 4), (9, 11)]"
CCOC(=O)c1c2n(c3ccc(C)cc13)CCC2,"[(17, 5), (10, 6), (9, 10)]"
CC1C(O)CC2(CC(C)([U])CO2)OC1[U],"[(11, 5), (5, 12)]"
C=C([U])CC(O)[U],"[(3, 4)]"
CC1(C)CCCC2(C)C(=CS(=O)c3ccccc3)C=CC=C12,"[(9, 10), (6, 8)]"
C=CC1CCC(C)(C(=O)OCC)C1[U],"[(4, 5)]"
COC1(OC)C(=O)c2c1ccc1c2CCCC1,"[(15, 16)]"
C=CC(CO)C1OC(C)(C)OC1COCc1ccccc1,"[(2, 3)]"
CCC=C(NC(=O)N(Cc1ccccc1)Cc1ccccc1)C(=O)OC,"[(5, 7)]"
C=C1C2CCC(C2)C1(C)C,"[(2, 3)]"
CC1CC([U])CCN1C(=O)OC(C)(C)C,"[(0, 1)]"
COC(=O)C(=O)CC1(c2ccccc2)C(=O)CC(C)=C1C,"[(6, 7), (14, 16), (19, 7)]"
COC(=O)C(=O)CC1(c2ccccc2)C(=O)CC(C)=C1C,"[(6, 7), (14, 16), (19, 7)]"
COC(=O)C1CC2([Se]c3ccccc3)c3ccccc3N(C(=O)OC(C)(C)C)C2N1C(=O)OC(C)(C)C,"[(6, 7), (28, 29)]"
CC=CC(=O)O,"[(1, 2)]"
CC1=C(O)C(=O)C(=C[U])C1CO[Si](C)(C)C(C)(C)C,"[(6, 9), (1, 2)]"
CCC12C=CCN3CCC4(C(=Nc5cc(OC)ccc54)CC1)C32,"[(6, 7), (7, 8), (9, 22)]"
COC1=C(C)C(=O)C2=C(C1=O)C(COC(N)=O)C1(OC)NCC3C1N23,"[(24, 7)]"
COC1=C(C)C(=O)C2=C(C1=O)C(COC(N)=O)C1(OC)C3NC3CN21,"[(24, 7)]"
CCSC1(C(CC(=O)c2ccccc2)c2c([N-][N+]#N)c(OC)c(C)c(OC)c2OCc2ccccc2)C=CC(=O)O1,"[(3, 4)]"
CCSC12OC(=O)C3C1N3c1c(OC)c(C)c(OC)c(OCc3ccccc3)c1C2CC(=O)c1ccccc1,"[(8, 9), (9, 7)]"
COC1CCCC2CCCC2C2(CCC2=O)C1,"[(16, 2), (11, 12)]"
COC(=O)NC([Ac])C(C)C(=O)C=Cc1ccccc1,"[(5, 7)]"
CC(C(=O)C=Cc1ccccc1)C(O)[Ac],"[(1, 12)]"
C=CC1(C)CCC(C(=C)C)C(O)C1c1ccccc1,"[(6, 10), (12, 2)]"
CCOC(=O)c1nc(-c2ccccc2)n2c1OCC2,"[(10, 11), (7, 8)]"
C=C(CC1(S(=O)(=O)c2ccccc2)CCCCCC(C)C1=O)C[Si](C)(C)C,"[(2, 3)]"
C=C1CC(=O)C2(CCCCCC2C)C1,"[(2, 3), (11, 5)]"
CC(=O)Oc1cc2c3n(c1=O)CCCC3(C)CC2,"[(4, 5), (6, 7)]"
CC(=O)Oc1cc2c3n(c1=O)CCCC3(C)CC2,"[(1, 3), (4, 5), (6, 7)]"
C=CCC1CC2N(CCC23C(=O)N(Cc2ccccc2)c2cc(OCc4ccccc4)ccc23)CC1CO[U],"[(6, 7), (9, 5)]"
O=C1CCCC2C=CC(CCOCc3ccccc3)C3CCN1C23,"[(8, 19), (23, 5), (22, 23), (22, 1)]"
O=C1C2C3C=CC(CCOCc4ccccc4)C2CCN1CCC3,"[(6, 17), (2, 3), (20, 1), (19, 20)]"
O=C1CCC2C=CCC2C1,"[(3, 4)]"
CC1(CO)CCCC1OCc1ccccc1,"[(1, 4)]"
CC(=O)OC1C(C)(C(=O)OC2C(=O)OCC2(C)C)OC(C)C1(C)[Si](C)(C)c1ccccc1,"[(4, 5), (18, 19)]"
O=C1CCC23C=NC([U])(O2)C(O)c2ccccc2N13,"[(7, 10), (18, 4)]"
COc1ccc2c(c1)C1C(OC)C(O[Si](C)(C)C)C(C)C(=O)C1(C)C(Sc1ccccc1)C2,"[(6, 7), (30, 15), (19, 21)]"
CN1C(=O)c2ccccc2C2c3ccccc3CCC21,"[(5, 10)]"
OCCCC1CCCO1,"[(0, 1), (7, 8)]"
OCCCC1CCCO1,"[(7, 8)]"
CC(C)(C)C1CCC(=O)N(CCC(O)c2ccccc2)CC1,"[(7, 9), (9, 20)]"
CC(COCc1ccccc1)C(O)CC1OC(=O)CC(C)C1O,"[(14, 15), (21, 22)]"
CC(COCc1ccccc1)C(O)CC(O)C1OC(=O)CC1C,"[(16, 17), (14, 15)]"
CCCCC(C(=O)O)=C(C)[Si](C)(C)C,"[(4, 8)]"

CC1CC=CC(CCC=O)C1,"[(5, 6)]"
COC(=O)C(C(=O)OC)=C1CCC(CC(C)OCc2ccccc2)O1,"[(4, 9)]"
COC(=O)C1CCN2C(=O)C=CC12O[Si](C)(C)C,"[(12, 4)]"
C=CC(C)(C=O)CCc1ccccc1,"[(2, 6)]"
[U]C([U])=NC12CC1COc1ccccc12,"[(6, 4), (4, 5)]"
[U]C1([U])CC2COc3ccccc3C2=N1,"[(13, 4), (1, 3)]"
CC1=CCCC(C)C=CC(C(C)C(=O)O[Si](C(C)C)(C(C)C)C(C)C)CC1,"[(9, 10), (25, 26)]"
C=C(C)C1(C(=O)OC)C(C(=O)OCC)SC2C(NC(=O)Cc3ccccc3)C(=O)N21,"[(3, 8), (8, 14)]"
O=C1C(O)C2CCC3CCC4CCN1C342,"[(13, 1), (12, 13), (14, 4), (10, 11)]"
CCOC(=O)C(C)=CC(O)CC1CC(O)C(C(C)(I)C(=O)OCC)O1,"[(16, 18), (15, 24)]"

CC(=CCCC(=CCCC=C(CCC=C(C)CCC1OC1(C)C)O[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C)CCC1OC1(C)C,"[(5, 6), (7, 8), (9, 10)]"
C=C1CCC2C(C)(C)C(O)CCC2(C)C1CCC1C(=C)CCC2C(C)(C)C(O)CCC12C,"[(4, 5), (12, 14), (30, 17), (22, 23)]"
CCCCN1C(=O)c2c(-c3ccccc3)c(N3CCOCC3)c3c(c2C1[U])C(=O)N(c1ccccc1)C3=O,"[(8, 15), (35, 7), (4, 5), (36, 4), (35, 36), (15, 22), (34, 35)]"
CCCCC(O)C1OC(CS(=O)(=O)c2ccccn2)C2OC(C)(C)OC12,"[(3, 4), (7, 8)]"
C=C(C)C1CC2(COC(=O)c3ccccc3)COC(C)(C)C1C2,"[(21, 3), (17, 18)]"
O=C1CCCCC2(c3ccccc3)CCCN12,"[(16, 1), (16, 6)]"
O=C1N2CCCCC1(c1ccccc1)CCC2,"[(2, 3), (1, 2)]"
CC1C=CC2(CCC(=CC(C)(C)C)C2)CC1(C)C,"[(7, 13)]"
C=C1C2OC2(C)C(COCc2ccccc2)N1S(=O)(=O)c1ccc(C)cc1,"[(16, 1), (3, 4)]"
C=CC(C)C1(C)C(=O)OCc2ccc(OC)cc21,"[(2, 4), (8, 9)]"
COCC1(CCC(C)=C(C)C)Nc2ccc(C(=O)O)cc2CC1Cl,"[(22, 23), (3, 11)]"
CC[Si](CC)(CC)OC([U])C(=O)[U],"[(8, 10)]"
N#CC1=NC2CCCC2C1,"[(9, 2), (8, 4)]"
CC1(N)C([U])CC(O)CC1CO,"[(9, 1), (3, 5)]"
[U]CN[U],"[(1, 2)]"
COC(=O)C1=CCC2C(C=O)C12C(=O)OC,"[(8, 11)]"
CCOC(=O)C12CCCCC(=O)C1CCC2,"[(12, 5), (10, 12)]"
CCOC(=O)C12CCCCC(CCC1)C2=O,"[(9, 10)]"
COC(=O)C1=C2Nc3ccccc3C23CCN(Cc2ccccc2)C3CC1CC1(C)OCCO1,"[(26, 4), (16, 24), (24, 13)]"
CC1CC2CC(C)(C)CC2C(C)(O)C12CC2,"[(15, 13), (10, 13), (9, 3)]"
CC=CCCN1C2Nc3ccc(Cl)cc3C1Nc1ccc(Cl)cc12,"[(5, 6), (15, 5), (9, 15), (23, 6)]"
CCOC(=O)N1CCC2c3c(OC)ccc(Cl)c3CCC2C1,"[(8, 9), (20, 21), (21, 5)]"
CCOC(=O)N1CCC2C(CCC3=CC(=O)C=CC32Cl)C1,"[(20, 5), (9, 20), (18, 8)]"
CCOC(=O)N1CCCC(CCc2cc(OC)ccc2Cl)C1,"[(21, 5), (9, 21)]"
CC12CCC3CC1OC(=O)C32C,"[(6, 7), (1, 2)]"
CCCCC=CC1CCCOC1C=C(C)C,"[(11, 6), (10, 11)]"
CCSC(=O)CC1C(SCC)=CC(=O)C1C(=O)OC(C)(C)C,"[(7, 11), (14, 6)]"
O=Cc1cc2c(c3ccccc13)OCC2,"[(2, 3)]"
COC1c2ccccc2C(=O)C1(OC)P(=O)(OC)OC,"[(11, 2), (11, 12)]"
COC1=C(P(=O)(OC)OC)c2ccccc2C(OC)O1,"[(1, 2), (16, 19), (3, 10)]"
CC1C(=O)CC2C3CCCC(C3=O)C12,"[(10, 13), (5, 6)]"
CC12C(=O)C3C=CCC3C1CCC2O,"[(12, 1)]"
C[Si](C)(C)C1C=C(O[Si]([U])([U])[U])CCC(=O)CC1[U],"[(17, 4), (5, 6)]"
CC([U])C(O)C(C)C1COC(C)(C)O1,"[(3, 4)]"
CC(=O)C12CCCCC1CCC2,"[(0, 1), (11, 3)]"
CC1CC(C2CCC3N2CCCCC32CC(C)C(=O)O2)OC1=O,"[(3, 20), (8, 4)]"
CC([Ac])C(O)CC1(C)OC1(C)CO[Si](C)(C)C(C)(C)C,"[(6, 8), (8, 9)]"
CC1=CCC([U])C2C1C([U])OC2C1(C)OC1CCO,"[(14, 15), (12, 14)]"
CCOC(=O)C1([U])CCCN1C(=O)OC(C)(C)C,"[(5, 7)]"
CCOC(=O)C1C(C(=O)OC)=C(C(=O)OC)C([Ac])N1c1ccccc1,"[(11, 16), (5, 6), (18, 5)]"
CCCCCCC=CC(O)C1CCCCC12CC(COc1ccccc1)CN2,"[(27, 15), (15, 10), (8, 9)]"
COC(=O)c1cn2c(c1C(=O)OC)c(=O)n(C)c1ccccc12,"[(4, 5), (17, 18), (5, 6), (17, 6), (13, 15)]"
COC(=O)C1=NC(C)(c2cccc3c(C(=O)OC)c(C(=O)OC)nn23)C(C(=O)OC)=C1C(=O)OC,"[(21, 8), (11, 16), (29, 30), (4, 5)]"
CC1CCC(C(C)(C)O)C(O)C1,"[(4, 9), (5, 8)]"
O=C([Ac])C1SCc2cc3c(n21)COC3,"[(8, 9), (6, 7)]"
COc1ccc(-c2nc(-c3ccncc3)c(-c3ccccc3)n2C[U])cc1,"[(8, 15), (6, 7)]"
CC(C)C1SC1(C(=O)C([Ac])C(=O)N(C)Cc1ccccc1)c1ccccc1,"[(5, 3), (3, 4)]"
CC(C)C1N([Ac])C(=O)C1(SC(=O)N(C)Cc1ccccc1)c1ccccc1,"[(8, 3), (3, 4)]"
C=CCC1CC(=C(Sc2ccccc2)C(=O)OC)C2=C1CCCC2,"[(2, 3)]"
